"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"84",0.237625937977693,0.102125144791615,0.00519321131375866,0.00872309149463158,6.35082395075642e-06,3.64511666079083e-08,4.35789258185173e-08,2.36853861586411e-10,1.32030321010458e-12,3.81277359580465e-14
"85",0.241191933944382,0.108416027666305,0.00597156211558452,0.00997430822171756,8.702862764893e-06,6.23431690230668e-08,7.89246043911558e-08,4.97864003777617e-10,3.10540533531502e-12,9.75918003784446e-14
"86",0.244540382712082,0.115033773207564,0.00688083529298338,0.0114254784108312,1.20045862792229e-05,1.07519570233314e-07,1.4393943824882e-07,1.05752472981515e-09,7.40920863890678e-12,2.53984411691957e-13
"87",0.2476601445067,0.1219762320465,0.00794190661785084,0.013106091155434,1.66519743990017e-05,1.86675734106827e-07,2.63859419614861e-07,2.26462055259055e-09,1.7883294437089e-11,6.70066310585472e-13
"88",0.250540723744992,0.12923841368435,0.00917850044758701,0.0150491196389182,2.32063872055696e-05,3.25753714431577e-07,4.85297421773785e-07,4.87785828455215e-09,4.35501472026651e-11,1.78679392731904e-12
"89",0.253172332765162,0.136812232651635,0.0106174232801725,0.0172911731278602,3.24618024037775e-05,5.70442583090623e-07,8.93980313576622e-07,1.05444926571588e-08,1.06727368347095e-10,4.80222223250116e-12
"90",0.255545951779323,0.144686275870045,0.0122887742567503,0.0198725840293606,4.5537808480753e-05,1.00091493521893e-06,1.64664783290073e-06,2.28271129526216e-08,2.62554429923838e-10,1.29725351341234e-11
"91",0.257653384495651,0.152845598335328,0.01422611868934,0.0228374092208194,6.40072140484272e-05,1.75715280458044e-06,3.02776300652789e-06,4.93860978092725e-08,6.46801602175518e-10,3.51290701278821e-11
"92",0.25948730889805,0.161271554345584,0.01646660833601,0.0262333229806744,9.00696239976624e-05,3.08203285022058e-06,5.5490077962159e-06,1.06566681619247e-07,1.59191887800056e-09,9.51161983098525e-11
"93",0.261041322718136,0.169941671391087,0.0190510299520417,0.0301113776577174,0.000126785236242063,5.39377949404658e-06,1.01212503012009e-05,2.28913705165324e-07,3.90570336647661e-09,2.56873393912997e-10
"94",0.262309983186124,0.178829573499101,0.0220237618031185,0.0345256079989952,0.000178386348744259,9.40622432638303e-06,1.83468372965113e-05,4.88611062667541e-07,9.5318665980165e-09,6.90297843805173e-10
"95",0.263288840704644,0.187904960263426,0.0254326165440418,0.0395324560871703,0.000250687456917913,1.63255352728651e-05,3.30072657753057e-05,1.0345251471837e-06,2.30925190418197e-08,1.84174171930117e-09
"96",0.263974466150702,0.197133646982401,0.0293285483813027,0.0451899963915699,0.000351618053137264,2.81669149958395e-05,5.88603488538694e-05,2.16914323730076e-06,5.54289441339811e-08,4.8681578234332e-09
"97",0.264364471574962,0.206477670298612,0.0337652029972539,0.0515569447479306,0.000491904826821458,4.82555201663428e-05,0.000103914330667896,4.49703597943454e-06,1.31575355849952e-07,1.27221498866966e-08
"98",0.264457524134625,0.215895462470861,0.0387982905476152,0.0586914413039417,0.000685931213557358,8.20036386471296e-05,0.000181414743145307,9.20482361181835e-06,3.08339750811856e-07,3.28080273755274e-08
"99",0.264253353163991,0.225342095961429,0.044484765364988,0.0666496056719673,0.000952801241052086,0.000138091400230038,0.000312860083404544,1.85760794745686e-05,7.12179653441524e-07,8.33364455597481e-08
"100",0.263752750354524,0.234769598417863,0.0508818009628189,0.0754838726504372,0.00131763024376978,0.000230219910053128,0.000532444890845216,3.69129669100322e-05,1.61877442816224e-06,2.08153698974909e-07
"101",0.262957563085024,0.244127336397436,0.0580455555997503,0.0852411286739023,0.00181307598657845,0.000379649997190994,0.000893393665954899,7.21381497442007e-05,3.61572004290643e-06,5.10427374229918e-07
"102",0.261870681007782,0.253362464405856,0.0660297320198817,0.0959606822584505,0.00248110873019969,0.000618779144773708,0.0014766632238758,0.000138491992951017,7.92561203369476e-06,1.22698055289809e-06
"103",0.260496016061004,0.262420434027581,0.0748839448578592,0.107672115529723,0.00337499660948495,0.000996030764364405,0.00240240702730832,0.00026092008979925,1.70278808768338e-05,2.88731945922595e-06
"104",0.258838476138866,0.271245556187428,0.0846519202992967,0.12039307772999,0.00456145260210291,0.0015823149350751,0.00384435389707271,0.000481947370199319,3.58162508886818e-05,6.6427909733177e-06
"105",0.256903932706947,0.27978160797034,0.0953695644810394,0.13412709453108,0.00612285128307839,0.00247924360048942,0.00604679468755636,0.000872012650714267,7.36773972725139e-05,1.49243315430579e-05
"106",0.25469918270399,0.287972473974252,0.107062949206026,0.148861478048521,0.00815937850205909,0.00382911845668991,0.00934315015241591,0.00154430779793893,0.000148083297553179,3.27085733714058e-05
"107",0.252231905117939,0.295762810965846,0.119746275155835,0.164565430693115,0.0107909275045998,0.00582643104073362,0.0141741108239609,0.00267500028289772,0.000290547890512288,6.98598238326822e-05
"108",0.249510612666473,0.303098723669552,0.133419883110307,0.181188440443865,0.0141585049092357,0.00873020719013699,0.0211021692639185,0.00452915209506548,0.000556070176468622,0.000145281767314719
"109",0.24654459904835,0.309928438904283,0.148068391918718,0.198659064981103,0.018424865128632,0.0128759991751158,0.0308181816337803,0.00749151354472571,0.00103738317041992,0.000293948823559509
"110",0.243343882261619,0.316202965011083,0.16365904731528,0.216884196786488,0.0237740595849108,0.0186857189702991,0.0441346846385053,0.0120995597968441,0.0018852979483183,0.000578239847510231
"111",0.239919144508932,0.321876723596951,0.180140367407837,0.235748890471724,0.0304095757088352,0.0266728984509073,0.0619604285652084,0.0190736964432924,0.00333595592508492,0.00110524070088172
"112",0.236281669227,0.326908141070397,0.19744116825771,0.255116817311263,0.0385507586425274,0.0374404843911428,0.0852513629097871,0.0293367870875889,0.00574462994899963,0.00205159701195111
